Rnk,Framework,JSON,1-query,20-query,Fortunes,Updates,Plaintext,Weighted score,Year
26,aah,331243,247734,25725,89790,10901,577094,3564,2019
33,aah,346427,246585,19898,96699,8319,536264,2257,2020
45,aah,342502,242725,19582,95575,8260,541387,2232,2021
61,aah,335364,236543,18956,94318,8061,527123,2179,2022
5,actix,1498561,512830,29198,512422,20635,7017232,7667,2022
62,aiohttp,141639,64928,12862,33671,5457,155050,1514,2019
71,aiohttp,139722,63375,10996,36432,4559,142010,972,2020
85,aiohttp,168144,67352,10885,36333,4528,171376,1007,2021
98,aiohttp,161204,67376,11195,46789,3939,167674,1009,2022
38,akka-http,315450,210785,21039,109950,3270,938771,2704,2019
53,akka-http,278903,169741,12391,99237,664,1034682,1461,2020
69,akka-http,262996,147626,12773,83066,644,1176203,1371,2021
66,akka-http,263654,163287,11865,98124,2098,3160080,1863,2022
42,aleph,899937,303497,17606,146919,6752,1262273,3076,2022
127,angel3,118874,55740,4662,12078,301,155368,412,2022
48,apidaora,351290,88389,13124,70659,5925,341062,1538,2020
63,apidaora,357697,87765,12707,70241,5868,337790,1529,2021
82,apidaora,323065,85575,12344,62346,5816,317320,1443,2022
20,appmpower,1002071,280803,24327,389298,18078,5188576,5687,2022
3,asp.net core,969717,367461,24977,300613,19454,6993704,9604,2019
8,asp.net core,904846,318164,18904,273121,15124,7338517,5212,2020
8,asp.net core,1242834,394990,21516,400987,17465,7022212,6370,2021
7,asp.net core,1306635,483762,26350,458677,19644,7023107,7077,2022
5,atreugo,1298360,403740,26101,159582,10935,6995436,7919,2019
13,atreugo,1224589,370712,19749,161479,11791,6116414,4759,2020
11,atreugo,1277526,394521,19632,393762,11697,6335742,5827,2021
18,atreugo,1223716,385697,19145,381480,11622,6464246,5713,2022
9,axum,847891,612714,34880,498541,24324,3780458,6982,2022
12,beetlex,1118327,405715,23308,371228,18213,3653409,5683,2021
17,beetlex,1125056,373208,21082,357490,16860,6900500,5966,2022
35,blade,1015846,88356,4574,74071,1912,1974440,2841,2019
50,blade,872090,52286,2624,47774,597,1532249,1505,2020
64,blade,865246,51739,2618,47444,616,1511453,1493,2021
89,blade,738155,40905,1770,36713,751,1176120,1240,2022
64,bottle,240254,59615,8233,37172,3714,297074,1373,2019
108,bottle,213502,9083,1614,35047,967,264750,516,2021
108,bottle,200092,51437,7129,33182,2403,248734,784,2022
100,cakephp,20065,8436,2949,7418,766,20154,184,2020
119,cakephp,18024,8083,3349,7105,937,19410,201,2021
133,cakephp,23627,12129,3760,10524,1959,24310,307,2022
88,cfml,188066,99248,16546,54226,4390,157175,1267,2022
16,chi,597735,347046,24621,211339,8444,797824,4646,2019
34,chi,533142,277792,16395,165126,1057,688628,2229,2020
46,chi,536708,284451,16586,159294,1130,697910,2231,2021
57,chi,521595,279541,15705,151202,2355,679830,2236,2022
59,clevergo,429691,198832,11684,93376,1418,716609,1623,2021
73,clevergo,419650,192571,10927,87174,2735,686699,1646,2022
123,coldbox,18002,16475,7113,13930,3551,16605,503,2022
35,comet,374434,223133,19839,185445,7717,443999,2549,2021
49,comet,366200,230193,19347,195551,7556,460879,2575,2022
50,compojure,325699,159068,16158,86954,2802,450114,2101,2019
62,compojure,281453,126019,11874,76832,623,375333,1175,2020
76,compojure,288604,122713,11609,75395,645,376602,1167,2021
111,compojure,271773,60740,1520,45427,772,397535,713,2022
14,cutelyst,1031762,243475,15702,203701,6892,2850516,5285,2019
23,cutelyst,870054,196538,11863,186461,5542,2498405,3015,2020
31,cutelyst,776697,246202,13126,247062,5845,1474475,3136,2021
39,cutelyst,876725,211360,11310,190023,9817,2572019,3354,2022
91,django,63452,20421,1596,11381,766,67880,339,2019
99,django,72039,20021,1599,15085,840,78132,273,2020
118,django,73024,20179,1643,15508,882,79266,280,2021
137,django,73479,20356,1519,15573,816,79188,274,2022
12,drogon,1153534,274002,17603,89439,9747,3993947,5503,2019
1,drogon,1077826,656361,59092,678278,33642,6801761,9676,2020
2,drogon,1070061,650753,58922,666737,33377,6519621,9544,2021
4,drogon,1086998,622274,29935,616607,21877,5969800,7801,2022
40,dropwizard,213010,94695,6607,57362,12227,236561,2588,2019
42,dropwizard,190359,84396,19318,62354,9521,224115,1698,2020
54,dropwizard,194674,83491,19093,60563,9443,235675,1685,2021
75,dropwizard,187290,80853,18731,59104,8964,226972,1625,2022
100,duckphp,56657,40555,14313,37551,1163,46016,678,2021
105,duckphp,89255,56161,13228,51801,2291,90765,857,2022
28,easyrpc,925599,153568,17220,143215,10510,3437552,3429,2021
29,easyrpc,917048,361968,20941,174219,17027,3483588,4443,2022
46,echo,320409,188452,11375,54041,6176,358930,2216,2019
43,echo,305705,202417,11431,73300,6242,332538,1685,2020
52,echo,301532,209043,12119,74331,6319,326948,1716,2021
69,echo,488079,186209,11069,69511,5294,726664,1815,2022
89,emmett,209256,22374,2729,15547,1318,217974,496,2020
110,emmett,206941,22031,2706,15491,1315,215293,492,2021
124,emmett,203546,22498,2732,16327,1234,216713,488,2022
4,es4x,1147596,702052,43352,155191,21801,2289928,8126,2019
